candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1,0.46,-0.46
Jean-Luc Mélenchon,16,1.71,-1.71
Fabien Roussel,2,0.65,-0.65
Marine Tondelier,3,0.8,-0.8
Raphaël Glucksmann,10,1.4,-1.4
Gabriel Attal,8,1.27,-1.27
Édouard Philippe,14,1.62,-1.62
Bruno Retailleau,6,1.11,-1.11
Nicolas Dupont-Aignan,2,0.65,-0.65
Marine Le Pen,35,2.23,-2.23
Éric Zemmour,3,0.8,-0.8
