candidat,intentions,erreur_sup,erreur_inf
Nathalie Arthaud,1,0.46,-0.46
Jean-Luc Mélenchon,17,1.75,-1.75
Fabien Roussel,2,0.65,-0.65
Marine Tondelier,3,0.8,-0.8
Raphaël Glucksmann,11,1.46,-1.46
Gabriel Attal,15,1.67,-1.67
Bruno Retailleau,9,1.34,-1.34
Nicolas Dupont-Aignan,2,0.65,-0.65
Marine Le Pen,37,2.25,-2.25
Éric Zemmour,3,0.8,-0.8
